"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.3.20","192.168.3.255","NBNS","92","Name query NB PRINT<00>"
"2","0.572156","192.168.3.5","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"3","0.762371","192.168.3.20","192.168.3.255","NBNS","92","Name query NB PRINT<00>"
"4","6.022765","192.168.3.20","34.120.208.123","TCP","66","51914  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","6.070054","34.120.208.123","192.168.3.20","TCP","66","443  >  51914 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM WS=256"
"6","6.070137","192.168.3.20","34.120.208.123","TCP","54","51914  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0"
"7","6.071025","192.168.3.20","34.120.208.123","TLSv1.3","2541","Client Hello (SNI=incoming.telemetry.mozilla.org)"
"8","6.082325","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=1 Ack=1361 Win=268544 Len=0"
"9","6.082325","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=1 Ack=2488 Win=267520 Len=0"
"10","6.138559","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","107","Standard query 0x4d30 HTTPS temuaffiliateprogram.pxf.io"
"11","6.138656","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","97","Standard query 0xbe81 A www.amazon.com.br"
"12","6.138766","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","97","Standard query 0x0a95 HTTPS www.amazon.com.br"
"13","6.138766","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","107","Standard query 0xbc90 A temuaffiliateprogram.pxf.io"
"14","6.138804","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","102","Standard query 0x5f54 HTTPS s.click.aliexpress.com"
"15","6.138852","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","102","Standard query 0xe75b A s.click.aliexpress.com"
